"Company Code","Data Source","SO Number","Record Index","Billing Number","Original Prepayment Request Number","Amount","Assigned Case","Assigned Scenario","OneToMany Number","ZFSN","Generated Prepayment Request Number","Processed","TransactionOrderNumbers"
"SAC1","LOCAL","1SA0000111","18","1SA5000210","d1KoP9","714","UnderDelivery-NoPrepayment","OneToOne",,"190",,"true","1SA0000152"
"SAC1","LOCAL","1SA0000111","19","1SA5000212","Ch6kUZ","926","OverDelivery-NoPrepayment","OneToMany","3","15, 324, 977",", , ","true","1SA0000153, 1SA0000154, 1SA0000155"
"SAC1","LOCAL","1SA0000111","20","1SA5000214","N8juQ5","1146","OverDelivery-DiffPrepayment","OneToMany","3","341, 283, 839","lVCXqlm, lDGW3Y9, ESVzcKu","true","1SA0000156, 1SA0000157, 1SA0000158"
"SAC1","LOCAL","1SA0000111","21","1SA5000216","86V1pR","1635","OverDelivery-NoPrepayment","OneToMany","3","544, 139, 1448",", , ","true","1SA0000159, 1SA0000160, 1SA0000161"
"SAC1","LOCAL","1SA0000111","22","1SA5000218","5QCXcU","1553","UnderDelivery-NoPrepayment","OneToMany","3","130, 8, 290",", , ","true","1SA0000162, 1SA0000163, 1SA0000164"
"SAC1","LOCAL","1SA0000111","23","1SA5000220","TDFkVW","859","OverDelivery-NoPrepayment","OneToMany","3","119, 299, 624",", , ","true","1SA0000165, 1SA0000166, 1SA0000167"
"SAC1","LOCAL","1SA0000111","24","1SA5000222","yg74bj","1305","OverDelivery-DiffPrepayment","OneToMany","2","533, 1074","tTRmNcC, PsqlPH6","true","1SA0000168, 1SA0000169"
"SAC1","LOCAL","1SA0000111","25","1SA5000224","JYlfQZ","1078","UnderDelivery-NoPrepayment","OneToMany","2","28, 103",", ","true","1SA0000170, 1SA0000171"
"SAC1","LOCAL","1SA0000111","26","1SA5000226","JsMimY","1695","OverDelivery-DiffPrepayment","OneToOne",,"2496","sk40Mrf","true","1SA0000172"
"SAC1","USD","1SA0000112","1","1SA5000177","2fjnwI","837","OverDelivery-DiffPrepayment","OneToMany","2","18, 897","9VOkvMj, WycXzMU","true","1SA0000173, 1SA0000174"
"SAC1","USD","1SA0000112","2","1SA5000179","3ijEb7","2008","OverDelivery-DiffPrepayment","OneToOne",,"2948","k3pV5jf","true","1SA0000175"
"SAC1","USD","1SA0000112","3","1SA5000181","s0YUwc","2280","UnderDelivery-DiffPrepayment","OneToMany","3","18, 41, 493","tBrmNRz, dcRMj6T, lMwWXmi","true","1SA0000176, 1SA0000177, 1SA0000178"
"SAC1","USD","1SA0000112","4","1SA5000183","7cH5EC","1067","UnderDelivery-Happy","OneToMany","3","344, 297, 396","7cH5EC, 7cH5EC, 7cH5EC","true","1SA0000179, 1SA0000180, 1SA0000181"
"SAC1","USD","1SA0000112","5","1SA5000185","lraJTE","1177","OverDelivery-NoPrepayment","OneToMany","3","154, 408, 909",", , ","true","1SA0000182, 1SA0000183, 1SA0000184"
"SAC1","USD","1SA0000112","6","1SA5000187","5NKGOy","1960","OverDelivery-NoPrepayment","OneToMany","3","291, 261, 1520",", , ","true","1SA0000185, 1SA0000186, 1SA0000187"
"SAC1","USD","1SA0000112","7","1SA5000189","om0Q27","1277","OverDelivery-Happy","OneToOne",,"2034","om0Q27","true","1SA0000188"
"SAC1","USD","1SA0000112","8","1SA5000191","FCY6Gh","1058","OverDelivery-DiffPrepayment","OneToOne",,"1466","j5nM2oT","true","1SA0000189"
"SAC1","USD","1SA0000112","9","1SA5000193","Cy7Wlj","1983","UnderDelivery-DiffPrepayment","OneToOne",,"660","aMIwM7I","true","1SA0000190"
"SAC1","USD","1SA0000112","10","1SA5000195","JajP6e","1221","OverDelivery-DiffPrepayment","OneToOne",,"1891","jHtnhBR","true","1SA0000191"
"SAC1","USD","1SA0000112","11","1SA5000197","ED4QsK","972","UnderDelivery-Happy","OneToMany","2","104, 838","ED4QsK, ED4QsK","true","1SA0000192, 1SA0000193"
"SAC1","USD","1SA0000112","12","1SA5000199","peXsaR","712","UnderDelivery-NoPrepayment","OneToOne",,"275",,"true","1SA0000194"
"SAC1","USD","1SA0000112","13","1SA5000201","siYGdT","864","UnderDelivery-Happy","OneToOne",,"791","siYGdT","true","1SA0000195"
"SAC1","USD","1SA0000112","14","1SA5000203","CTUSfv","1102","OverDelivery-NoPrepayment","OneToOne",,"1542",,"true","1SA0000196"
"SAC1","USD","1SA0000112","15","1SA5000205","siFvkg","1679","OverDelivery-DiffPrepayment","OneToOne",,"1959","Qyry3yE","true","1SA0000197"
"SAC1","USD","1SA0000112","16","1SA5000207","1wbsO3","2024","OverDelivery-Happy","OneToMany","2","280, 1921","1wbsO3, 1wbsO3","true","1SA0000198, 1SA0000199"
"SAC1","USD","1SA0000112","17","1SA5000209","LU4frG","761","OverDelivery-Happy","OneToMany","2","424, 735","LU4frG, LU4frG","true","1SA0000200, 1SA0000201"
"SAC1","USD","1SA0000112","18","1SA5000211","XZYNzO","1607","OverDelivery-DiffPrepayment","OneToOne",,"2245","2UPWNwu","true","1SA0000202"
"SAC1","USD","1SA0000112","19","1SA5000213","H3ySKQ","2177","UnderDelivery-NoPrepayment","OneToMany","2","534, 567",", ","true","1SA0000203, 1SA0000204"
"SAC1","USD","1SA0000112","20","1SA5000215","pnCrv3","1707","UnderDelivery-NoPrepayment","OneToOne",,"756",,"true","1SA0000205"
"SAC1","USD","1SA0000112","21","1SA5000217","nhJxP9","2453","UnderDelivery-Happy","OneToOne",,"265","nhJxP9","true","1SA0000206"
"SAC1","USD","1SA0000112","22","1SA5000219","8KtRD9","1355","UnderDelivery-DiffPrepayment","OneToOne",,"891","3W1w87F","true","1SA0000207"
"SAC1","USD","1SA0000112","23","1SA5000221","TtHgG1","1051","UnderDelivery-NoPrepayment","OneToOne",,"513",,"true","1SA0000208"
"SAC1","USD","1SA0000112","24","1SA5000223","m8y4x0","1835","UnderDelivery-NoPrepayment","OneToOne",,"1427",,"true","1SA0000209"
"SAC1","USD","1SA0000112","25","1SA5000225","C8viBN","1138","UnderDelivery-NoPrepayment","OneToOne",,"6",,"true","1SA0000210"
"SAC1","USD","1SA0000112","26","1SA5000227","Me4kF7","1707","UnderDelivery-Happy","OneToMany","2","173, 538","Me4kF7, Me4kF7","true","1SA0000211, 1SA0000212"
"MAC1","LOCAL","1MA0000034","1","1MA5000128","KquZQ5","1726","OverDelivery-DiffPrepayment","OneToOne",,"1835","e21ULvh","true","1MA0000040"
"MAC1","LOCAL","1MA0000034","2","1MA5000130","MwjN03","1303","OverDelivery-Happy","OneToOne",,"2266","MwjN03","true","1MA0000041"
"MAC1","LOCAL","1MA0000034","3","1MA5000132","63EzRM","1835","OverDelivery-Happy","OneToOne",,"2117","63EzRM","true","1MA0000042"
"MAC1","LOCAL","1MA0000034","4","1MA5000134","sifDLM","1408","OverDelivery-Happy","OneToMany","3","411, 259, 1067","sifDLM, sifDLM, sifDLM","true","1MA0000043, 1MA0000044, 1MA0000045"
"MAC1","LOCAL","1MA0000034","5","1MA5000136","bVcQA5","715","OverDelivery-NoPrepayment","OneToOne",,"1660",,"true","1MA0000046"
"MAC1","LOCAL","1MA0000034","6","1MA5000138","D86XhC","1291","OverDelivery-NoPrepayment","OneToOne",,"2156",,"true","1MA0000047"
"MAC1","LOCAL","1MA0000034","7","1MA5000140","yQ0icA","1644","OverDelivery-NoPrepayment","OneToMany","2","85, 1632",", ","true","1MA0000048, 1MA0000049"
"MAC1","LOCAL","1MA0000034","8","1MA5000142","WYZS3m","1871","UnderDelivery-NoPrepayment","OneToMany","2","358, 1189",", ","true","1MA0000050, 1MA0000051"
"MAC1","LOCAL","1MA0000034","9","1MA5000144","8gHJTs","599","UnderDelivery-DiffPrepayment","OneToOne",,"370","RcUBoM8","true","1MA0000052"
"MAC1","LOCAL","1MA0000034","10","1MA5000146","0cwodz","2025","OverDelivery-DiffPrepayment","OneToMany","3","205, 24, 2273","y5cVn61, pdhW3Mm, OiHx7Dk","true","1MA0000053, 1MA0000054, 1MA0000055"
"MAC1","LOCAL","1MA0000034","11","1MA5000148","cD7p90","2162","OverDelivery-DiffPrepayment","OneToOne",,"3122","cHOkfq0","true","1MA0000056"
"MAC1","LOCAL","1MA0000034","12","1MA5000150","tzivgY","1048","OverDelivery-Happy","OneToOne",,"1808","tzivgY","true","1MA0000057"
"MAC1","LOCAL","1MA0000034","13","1MA5000152","MnO04l","1938","OverDelivery-NoPrepayment","OneToOne",,"2432",,"true","1MA0000058"
"MAC1","LOCAL","1MA0000034","14","1MA5000154","sVLUtm","1239","OverDelivery-NoPrepayment","OneToMany","2","202, 1378",", ","true","1MA0000059, 1MA0000060"
"MAC1","LOCAL","1MA0000034","15","1MA5000156","Ypmvs4","1364","UnderDelivery-NoPrepayment","OneToMany","3","169, 171, 488",", , ","true","1MA0000061, 1MA0000062, 1MA0000063"
"MAC1","LOCAL","1MA0000034","16","1MA5000158","F91IM8","876","OverDelivery-Happy","OneToMany","2","476, 454","F91IM8, F91IM8","true","1MA0000064, 1MA0000065"
"MAC1","LOCAL","1MA0000034","17","1MA5000160","Kv3A7D","2067","UnderDelivery-NoPrepayment","OneToMany","3","325, 60, 1035",", , ","true","1MA0000066, 1MA0000067, 1MA0000068"
"MAC1","LOCAL","1MA0000034","18","1MA5000162","K1xqiX","2137","OverDelivery-DiffPrepayment","OneToOne",,"2304","85NTBqv","true","1MA0000069"
"MAC1","LOCAL","1MA0000034","19","1MA5000164","PsNw3h","1153","OverDelivery-NoPrepayment","OneToMany","3","71, 233, 1029",", , ","true","1MA0000070, 1MA0000071, 1MA0000072"
"MAC1","LOCAL","1MA0000034","20","1MA5000166","zc82Bs","1207","UnderDelivery-Happy","OneToMany","3","266, 72, 819","zc82Bs, zc82Bs, zc82Bs","true","1MA0000073, 1MA0000074, 1MA0000075"
"MAC1","LOCAL","1MA0000034","21","1MA5000168","JyYV7M","1388","OverDelivery-DiffPrepayment","OneToOne",,"2028","erLqYkV","true","1MA0000076"
"MAC1","LOCAL","1MA0000034","22","1MA5000170","TDPBk3","2415","OverDelivery-DiffPrepayment","OneToOne",,"2718","BkUvVuf","true","1MA0000077"
"MAC1","LOCAL","1MA0000034","23","1MA5000172","GBXut7","2113","OverDelivery-DiffPrepayment","OneToOne",,"2339","Ay7hHHj","true","1MA0000078"
"MAC1","LOCAL","1MA0000034","24","1MA5000174","en3svR","1750","OverDelivery-Happy","OneToMany","3","328, 21, 1887","en3svR, en3svR, en3svR","true","1MA0000079, 1MA0000080, 1MA0000081"
"MAC1","LOCAL","1MA0000034","25","1MA5000176","a7IgqQ","1379","OverDelivery-Happy","OneToMany","3","457, 499, 508","a7IgqQ, a7IgqQ, a7IgqQ","true","1MA0000082, 1MA0000083, 1MA0000084"
"MAC1","LOCAL","1MA0000034","26","1MA5000178","TmWObJ","868","OverDelivery-NoPrepayment","OneToOne",,"1246",,"true","1MA0000085"
"MAC1","USD","1MA0000035","1","1MA5000129","NRUVsy","891","OverDelivery-DiffPrepayment","OneToOne",,"968","ehT1SZC","true","1MA0000086"
"MAC1","USD","1MA0000035","2","1MA5000131","vcGuR9","718","OverDelivery-NoPrepayment","OneToOne",,"1242",,"true","1MA0000087"
"MAC1","USD","1MA0000035","3","1MA5000133","8Tr7VE","2098","UnderDelivery-DiffPrepayment","OneToMany","2","26, 194","3NuN9Ej, AU8rI3S","true","1MA0000088, 1MA0000089"
"MAC1","USD","1MA0000035","4","1MA5000135","NUFI4P","2197","OverDelivery-DiffPrepayment","OneToMany","2","751, 1809","V5uDovm, 5NXpzot","true","1MA0000090, 1MA0000091"
"MAC1","USD","1MA0000035","5","1MA5000137","vUSXJH","1977","UnderDelivery-Happy","OneToOne",,"1112","vUSXJH","true","1MA0000092"
"MAC1","USD","1MA0000035","6","1MA5000139","zUbSQY","1660","UnderDelivery-DiffPrepayment","OneToOne",,"568","To9GPCD","true","1MA0000093"
"MAC1","USD","1MA0000035","7","1MA5000141","vWAJGD","758","UnderDelivery-NoPrepayment","OneToMany","3","35, 301, 371",", , ","true","1MA0000094, 1MA0000095, 1MA0000096"
"MAC1","USD","1MA0000035","8","1MA5000143","iuYmqc","1516","UnderDelivery-DiffPrepayment","OneToMany","3","178, 106, 525","yh51DsI, fSocBAc, KuhvUvz","true","1MA0000097, 1MA0000098, 1MA0000099"
"MAC1","USD","1MA0000035","9","1MA5000145","twLnmR","2125","OverDelivery-DiffPrepayment","OneToOne",,"2615","SA9Vprf","true","1MA0000100"
"MAC1","USD","1MA0000035","10","1MA5000147","HN5DxO","915","OverDelivery-NoPrepayment","OneToOne",,"1733",,"true","1MA0000101"
"MAC1","USD","1MA0000035","11","1MA5000149","LEnk2b","2487","OverDelivery-NoPrepayment","OneToOne",,"2901",,"true","1MA0000102"
"MAC1","USD","1MA0000035","12","1MA5000151","V2uWQj","988","OverDelivery-DiffPrepayment","OneToMany","3","141, 20, 992","jKxN1FK, 9DEyVsi, SL215Ra","true","1MA0000103, 1MA0000104, 1MA0000105"
"MAC1","USD","1MA0000035","13","1MA5000153","d5KpN9","977","UnderDelivery-Happy","OneToMany","2","19, 180","d5KpN9, d5KpN9","true","1MA0000106, 1MA0000107"
"MAC1","USD","1MA0000035","14","1MA5000155","14PZtm","725","UnderDelivery-Happy","OneToMany","2","51, 102","14PZtm, 14PZtm","true","1MA0000108, 1MA0000109"
"MAC1","USD","1MA0000035","15","1MA5000157","4xOTf8","1391","OverDelivery-Happy","OneToOne",,"1942","4xOTf8","true","1MA0000110"
"MAC1","USD","1MA0000035","16","1MA5000159","mx2vE4","1092","OverDelivery-DiffPrepayment","OneToOne",,"1179","nUedmIs","true","1MA0000111"
"MAC1","USD","1MA0000035","17","1MA5000161","nN1xT9","861","OverDelivery-Happy","OneToOne",,"1013","nN1xT9","true","1MA0000112"
"MAC1","USD","1MA0000035","18","1MA5000163","XR6wO3","681","OverDelivery-Happy","OneToMany","2","166, 660","XR6wO3, XR6wO3","true","1MA0000113, 1MA0000114"
"MAC1","USD","1MA0000035","19","1MA5000165","OXC5Fu","1259","UnderDelivery-Happy","OneToMany","3","267, 106, 494","OXC5Fu, OXC5Fu, OXC5Fu","true","1MA0000115, 1MA0000116, 1MA0000117"
"MAC1","USD","1MA0000035","20","1MA5000167","BQYKHc","1565","OverDelivery-DiffPrepayment","OneToOne",,"2010","MZwRgHy","true","1MA0000118"
"MAC1","USD","1MA0000035","21","1MA5000169","Vvuocp","1741","UnderDelivery-NoPrepayment","OneToMany","3","43, 86, 344",", , ","true","1MA0000119, 1MA0000120, 1MA0000121"
"MAC1","USD","1MA0000035","22","1MA5000171","AIR6fQ","2445","OverDelivery-Happy","OneToMany","2","77, 2748","AIR6fQ, AIR6fQ","true","1MA0000122, 1MA0000123"
"MAC1","USD","1MA0000035","23","1MA5000173","1uvsi2","555","UnderDelivery-DiffPrepayment","OneToOne",,"60","tmlmCWq","true","1MA0000124"
"MAC1","USD","1MA0000035","24","1MA5000175","rajoKI","1663","UnderDelivery-Happy","OneToOne",,"653","rajoKI","true","1MA0000125"
"MAC1","USD","1MA0000035","25","1MA5000177","G3duZD","575","UnderDelivery-Happy","OneToMany","2","28, 28","G3duZD, G3duZD","true","1MA0000126, 1MA0000127"
"MAC1","USD","1MA0000035","26","1MA5000179","NcH4wZ","1531","OverDelivery-NoPrepayment","OneToOne",,"2526",,"true","1MA0000128"
"EGC1","LOCAL","1EG0000007","1","1EG5000057","Jq5mso","1696","UnderDelivery-NoPrepayment","OneToMany","3","413, 295, 831",", , ","true","1EG0000016, 1EG0000017, 1EG0000018"
"EGC1","LOCAL","1EG0000007","2","1EG5000059","ocQZFI","2481","OverDelivery-DiffPrepayment","OneToOne",,"3181","sT74ZAk","true","1EG0000019"
"EGC1","LOCAL","1EG0000007","3","1EG5000061","QEdLkm","724","OverDelivery-DiffPrepayment","OneToOne",,"1158","LeVKXDe","true","1EG0000020"
"EGC1","LOCAL","1EG0000007","4","1EG5000063","cqhoK0","1655","OverDelivery-DiffPrepayment","OneToMany","2","871, 1226","BJC3XAx, tSExGtl","true","1EG0000021, 1EG0000022"
"EGC1","LOCAL","1EG0000007","5","1EG5000065","axZzTe","1262","UnderDelivery-DiffPrepayment","OneToMany","3","224, 324, 432","ewMm1SV, 56SJy2l, TKS3znb","true","1EG0000023, 1EG0000024, 1EG0000025"
"EGC1","LOCAL","1EG0000007","6","1EG5000067","ln6j1U","531","UnderDelivery-DiffPrepayment","OneToOne",,"305","z2SSvkR","true","1EG0000026"
"EGC1","LOCAL","1EG0000007","7","1EG5000069","QuKA5i","1702","OverDelivery-Happy","OneToOne",,"2247","QuKA5i","true","1EG0000027"
"EGC1","LOCAL","1EG0000007","8","1EG5000071","zC3djB","2216","UnderDelivery-DiffPrepayment","OneToMany","2","39, 711","N4mzJXg, BM6goYY","true","1EG0000028, 1EG0000029"
"EGC1","LOCAL","1EG0000007","9","1EG5000073","VKdCNr","644","OverDelivery-Happy","OneToMany","3","157, 158, 593","VKdCNr, VKdCNr, VKdCNr","true","1EG0000030, 1EG0000031, 1EG0000032"
"EGC1","LOCAL","1EG0000007","10","1EG5000075","hJxIZF","1885","UnderDelivery-DiffPrepayment","OneToOne",,"1656","grXwx4b","true","1EG0000033"
"EGC1","LOCAL","1EG0000007","11","1EG5000077","LQPT9z","1958","UnderDelivery-DiffPrepayment","OneToMany","3","301, 373, 1051","UHIrJ2D, BGmKEqr, uk3ZTzH","true","1EG0000034, 1EG0000035, 1EG0000036"
"EGC1","LOCAL","1EG0000007","12","1EG5000079","A2jQcM","1211","UnderDelivery-DiffPrepayment","OneToMany","3","20, 51, 165","DzpqPb6, iuKJmP1, AfFuhGr","true","1EG0000037, 1EG0000038, 1EG0000039"
"EGC1","LOCAL","1EG0000007","13","1EG5000081","LytS96","1891","OverDelivery-NoPrepayment","OneToOne",,"2560",,"true","1EG0000040"
"EGC1","LOCAL","1EG0000007","14","1EG5000083","aT5mQd","1646","OverDelivery-Happy","OneToOne",,"1823","aT5mQd","true","1EG0000041"
"EGC1","LOCAL","1EG0000007","15","1EG5000085","pentC0","2461","OverDelivery-Happy","OneToOne",,"3096","pentC0","true","1EG0000042"
"EGC1","LOCAL","1EG0000007","16","1EG5000087","Jau3EI","823","UnderDelivery-Happy","OneToMany","2","193, 415","Jau3EI, Jau3EI","true","1EG0000043, 1EG0000044"
"EGC1","LOCAL","1EG0000007","17","1EG5000089","GW81tH","2254","OverDelivery-Happy","OneToMany","2","794, 1808","GW81tH, GW81tH","true","1EG0000045, 1EG0000046"
"EGC1","LOCAL","1EG0000007","18","1EG5000091","ftqjFu","1966","OverDelivery-Happy","OneToMany","2","3, 1968","ftqjFu, ftqjFu","true","1EG0000047, 1EG0000048"
"EGC1","LOCAL","1EG0000007","19","1EG5000093","AV4y86","2072","UnderDelivery-DiffPrepayment","OneToOne",,"17","c2amTn7","true","1EG0000049"
"EGC1","LOCAL","1EG0000007","20","1EG5000095","yXuUOR","2230","UnderDelivery-Happy","OneToMany","2","148, 1599","yXuUOR, yXuUOR","true","1EG0000050, 1EG0000051"
"EGC1","LOCAL","1EG0000007","21","1EG5000097","Qy0aB5","2250","UnderDelivery-Happy","OneToMany","3","15, 82, 117","Qy0aB5, Qy0aB5, Qy0aB5","true","1EG0000052, 1EG0000053, 1EG0000054"
"EGC1","LOCAL","1EG0000007","22","1EG5000099","woqZBn","2134","OverDelivery-Happy","OneToOne",,"2778","woqZBn","true","1EG0000055"
"EGC1","LOCAL","1EG0000007","23","1EG5000101","RJ0rAF","1072","OverDelivery-Happy","OneToOne",,"2007","RJ0rAF","true","1EG0000056"
"EGC1","LOCAL","1EG0000007","24","1EG5000103","ORKAZr","911","OverDelivery-Happy","OneToOne",,"1679","ORKAZr","true","1EG0000057"
"EGC1","LOCAL","1EG0000007","25","1EG5000105","mHjBLD","1962","UnderDelivery-DiffPrepayment","OneToOne",,"1443","n6yYthN","true","1EG0000058"
"EGC1","LOCAL","1EG0000007","26","1EG5000107","7f6LjY","1133","UnderDelivery-Happy","OneToMany","2","271, 690","7f6LjY, 7f6LjY","true","1EG0000059, 1EG0000060"
"EGC1","USD","1EG0000008","1","1EG5000058","PdoKag","1625","OverDelivery-Happy","OneToOne",,"1774","PdoKag","true","1EG0000061"
"EGC1","USD","1EG0000008","2","1EG5000060","X6nDxR","773","UnderDelivery-DiffPrepayment","OneToOne",,"356","aMV10kC","true","1EG0000062"
"EGC1","USD","1EG0000008","3","1EG5000062","nXlJA7","538","OverDelivery-Happy","OneToMany","3","194, 174, 631","nXlJA7, nXlJA7, nXlJA7","true","1EG0000063, 1EG0000064, 1EG0000065"
"EGC1","USD","1EG0000008","4","1EG5000064","xuhkP3","691","OverDelivery-Happy","OneToMany","3","253, 12, 728","xuhkP3, xuhkP3, xuhkP3","true","1EG0000066, 1EG0000067, 1EG0000068"
"EGC1","USD","1EG0000008","5","1EG5000066","OsjItJ","2312","OverDelivery-Happy","OneToMany","3","828, 780, 773","OsjItJ, OsjItJ, OsjItJ","true","1EG0000069, 1EG0000070, 1EG0000071"
"EGC1","USD","1EG0000008","6","1EG5000068","YUjASH","1314","UnderDelivery-Happy","OneToOne",,"1040","YUjASH","true","1EG0000072"
"EGC1","USD","1EG0000008","7","1EG5000070","mtDAQI","2394","OverDelivery-Happy","OneToOne",,"2469","mtDAQI","true","1EG0000073"
"EGC1","USD","1EG0000008","8","1EG5000072","mwvD5Q","2466","UnderDelivery-DiffPrepayment","OneToMany","2","363, 644","elSboyb, 9eAJQv8","true","1EG0000074, 1EG0000075"
"EGC1","USD","1EG0000008","9","1EG5000074","cyE6r7","512","UnderDelivery-DiffPrepayment","OneToMany","3","66, 135, 249","Q9OysQE, AOXlry7, DcCdcIU","true","1EG0000076, 1EG0000077, 1EG0000078"
"EGC1","USD","1EG0000008","10","1EG5000076","aCKViZ","1141","UnderDelivery-Happy","OneToMany","3","73, 205, 473","aCKViZ, aCKViZ, aCKViZ","true","1EG0000079, 1EG0000080, 1EG0000081"
"EGC1","USD","1EG0000008","11","1EG5000078","RHrWVM","2346","UnderDelivery-Happy","OneToMany","3","613, 167, 1127","RHrWVM, RHrWVM, RHrWVM","true","1EG0000082, 1EG0000083, 1EG0000084"
"EGC1","USD","1EG0000008","12","1EG5000080","E82cSf","650","UnderDelivery-Happy","OneToOne",,"27","E82cSf","true","1EG0000085"
"EGC1","USD","1EG0000008","13","1EG5000082","jPObBf","2364","UnderDelivery-Happy","OneToOne",,"485","jPObBf","true","1EG0000086"
"EGC1","USD","1EG0000008","14","1EG5000084","iyzO8c","867","UnderDelivery-Happy","OneToMany","2","138, 706","iyzO8c, iyzO8c","true","1EG0000087, 1EG0000088"
"EGC1","USD","1EG0000008","15","1EG5000086","3ciyWD","815","UnderDelivery-Happy","OneToOne",,"94","3ciyWD","true","1EG0000089"
"EGC1","USD","1EG0000008","16","1EG5000088","sBrfDL","2385","UnderDelivery-DiffPrepayment","OneToMany","2","460, 1319","FhW1s3b, p2ZSpSz","true","1EG0000090, 1EG0000091"
"EGC1","USD","1EG0000008","17","1EG5000090","r6o5bq","765","UnderDelivery-Happy","OneToMany","3","14, 82, 267","r6o5bq, r6o5bq, r6o5bq","true","1EG0000092, 1EG0000093, 1EG0000094"
"EGC1","USD","1EG0000008","18","1EG5000092","UHNAXT","1174","UnderDelivery-DiffPrepayment","OneToMany","3","6, 12, 13","5hTfIll, s80p2Hx, lBAyYL8","true","1EG0000095, 1EG0000096, 1EG0000097"
"EGC1","USD","1EG0000008","19","1EG5000094","NhBzE8","1947","UnderDelivery-DiffPrepayment","OneToMany","3","295, 361, 1122","jLXKdLh, Prs9I4K, fgYuGqK","true","1EG0000098, 1EG0000099, 1EG0000100"
"EGC1","USD","1EG0000008","20","1EG5000096","740BXn","939","UnderDelivery-DiffPrepayment","OneToMany","2","93, 398","oUomfli, s2QFJCq","true","1EG0000101, 1EG0000102"
"EGC1","USD","1EG0000008","21","1EG5000098","LGpMxJ","1745","UnderDelivery-Happy","OneToOne",,"748","LGpMxJ","true","1EG0000103"
"EGC1","USD","1EG0000008","22","1EG5000100","YIZrRz","2162","UnderDelivery-Happy","OneToOne",,"1894","YIZrRz","true","1EG0000104"
"EGC1","USD","1EG0000008","23","1EG5000102","gVbP6s","2354","UnderDelivery-DiffPrepayment","OneToOne",,"2350","VxKEr5u","true","1EG0000105"
"EGC1","USD","1EG0000008","24","1EG5000104","eHyYhv","1382","UnderDelivery-Happy","OneToMany","2","133, 431","eHyYhv, eHyYhv","true","1EG0000106, 1EG0000107"
